bp,bm,cp,cm
1097,729,1529,1339
1096,731,1539,1347
1096,733,1550,1357
1097,735,1560,1366
1097,737,1571,1376
1096,740,1582,1385
1097,742,1593,1395
1097,744,1603,1404
1097,746,1614,1412
1097,748,1624,1421
1097,750,1634,1430
1097,752,1645,1440
1097,754,1656,1449
1097,756,1666,1459
1097,758,1677,1468
1096,760,1686,1476
1097,762,1696,1484
1097,764,1707,1494
1096,766,1717,1503
1097,768,1727,1512
1097,770,1737,1521
1097,772,1748,1529
1096,774,1759,1539
1097,776,1768,1548
1097,778,1779,1556
1097,780,1788,1565
1097,782,1798,1573
1097,783,1809,1583
1097,785,1819,1591
1097,787,1830,1601
1097,789,1841,1610
1097,792,1851,1620
1097,794,1862,1629
1097,795,1872,1637
1097,797,1881,1646
1097,799,1892,1655
1097,801,1903,1665
1097,804,1914,1674
1097,806,1924,1683
1097,808,1934,1692
1097,810,1945,1701
1097,811,1955,1710
1097,813,1964,1719
1097,816,1975,1727
1097,817,1985,1736
1097,819,1995,1745
1097,821,2005,1754
1097,823,2016,1763
1097,825,2026,1773
1097,827,2036,1781
1097,829,2046,1790
1096,831,2056,1799
1096,833,2066,1807
1097,835,2076,1817
1097,836,2087,1825
1096,838,2096,1834
1096,840,2107,1843
1097,842,2117,1852
1097,845,2127,1861
1097,846,2137,1870
1097,848,2148,1879
1096,850,2158,1888
1097,852,2168,1896
1096,854,2178,1905
1097,856,2188,1914
1097,858,2199,1923
1097,860,2208,1932
1097,861,2219,1941
